title,score,expected_yield_class,source_hint,already_fetched,recheck_required,positive_reasons,negative_reasons
Lynching in the United States,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Make America Great Again,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Milton Friedman,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Mina (Louisiana),18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Modern Medicine (art exhibition),18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
Moorish Science Temple of America,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
National Baptist Convention of America International,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
"National Baptist Convention, USA",18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
National Urban League,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
New Great Migration,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
New Orleans Voodoo Revival,18.56,low,,False,False,encyclopedic_entity_form; term_in_accepted_fact_objects,
