row_id,term,target_sense,prompt,expected_safe_behavior,expected_cue,risk_level,baseline_decision,baseline_selected_sense,baseline_continuation,provider_decision,provider_selected_sense,provider_continuation,baseline_reasons,provider_reasons,provider_memory_hits,changed,newly_continued,newly_audited,provider_influenced
kp-v1-033,crane,bird,Its long legs helped the crane stand in the shallow reeds,continue,leg,low,continue,bird,Its long legs helped the crane stand in the shallow reeds and spread its wings,continue,bird,Its long legs helped the crane stand in the shallow reeds and spread its wings,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=reeds -> bird | positive_cue=reeds -> bird | realization_type=neutral_extension | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,no,no,no,no
kp-v1-034,crane,bird,Cranes are known for their migration in large flocks across wetlands,continue,migration,low,audit,,,audit,,,no_ambiguous_term,no_ambiguous_term,,no,no,no,no
kp-v1-035,crane,bird,The crane at the construction site spread its wing while a flock flew over,audit,flock,medium,audit,,,audit,,,top_sense=machine | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=bird | top_score=3 | second_score=3 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=crane | cue=flew -> bird | positive_cue=flew -> bird | cue=wing -> bird | positive_cue=wing -> bird | cue=flock -> bird | positive_cue=flock -> bird | cue=construction -> machine | positive_cue=construction -> machine | cue=site -> machine | positive_cue=site -> machine | cue=construction site -> machine | positive_cue=construction site -> machine | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=wing -> crane:bird | provider_cue=flock -> crane:bird | provider_cue=construction site -> crane:machine,no,no,no,yes
kp-v1-036,crane,machine,The crane's cable lowered the steel beams to the ground,continue,cable,low,audit,,,audit,,,no_ambiguous_term,no_ambiguous_term,,no,no,no,no
kp-v1-037,crane,machine,The boom of the tower crane rose above the building site,continue,boom,low,continue,machine,The boom of the tower crane rose above the building site and carried the load,continue,machine,The boom of the tower crane rose above the building site and carried the load,top_sense=machine | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=machine | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=crane | cue=building -> machine | positive_cue=building -> machine | cue=site -> machine | positive_cue=site -> machine | cue=boom -> machine | positive_cue=boom -> machine | cue=tower crane -> machine | positive_cue=tower crane -> machine | realization_type=neutral_extension | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and carried the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=boom -> crane:machine | provider_cue=tower crane -> crane:machine,no,no,no,yes
kp-v1-038,crane,machine,Outriggers kept the crane stable on the uneven construction site,continue,outrigger,low,continue,machine,Outriggers kept the crane stable on the uneven construction site and carried the load,continue,machine,Outriggers kept the crane stable on the uneven construction site and carried the load,top_sense=machine | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=crane | cue=construction -> machine | positive_cue=construction -> machine | cue=site -> machine | positive_cue=site -> machine | cue=construction site -> machine | positive_cue=construction site -> machine | realization_type=neutral_extension | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and carried the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=construction site -> crane:machine,no,no,no,yes
kp-v1-039,crane,machine,The operator used the crane to swing the steel beams over the site,continue,steel beams,low,continue,machine,The operator used the crane to swing the steel beams over the site and carried the load,continue,machine,The operator used the crane to swing the steel beams over the site and carried the load,top_sense=machine | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=machine | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=crane | cue=steel -> machine | positive_cue=steel -> machine | cue=operator -> machine | positive_cue=operator -> machine | cue=site -> machine | positive_cue=site -> machine | cue=steel beams -> machine | positive_cue=steel beams -> machine | realization_type=neutral_extension | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and carried the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=steel beams -> crane:machine,no,no,no,yes
kp-v1-040,crane,machine,The crane spread its neck near the tower crane on the site,audit,tower crane,medium,audit,,,audit,,,top_sense=bird | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,top_sense=machine | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=crane | cue=neck -> bird | positive_cue=neck -> bird | cue=site -> machine | positive_cue=site -> machine | cue=tower crane -> machine | positive_cue=tower crane -> machine | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=tower crane -> crane:machine,no,no,no,yes
kp-v1-041,rock,stone,The geologist studied the mineral layers in the rock formation,continue,mineral,low,audit,,,continue,stone,The geologist studied the mineral layers in the rock formation and lay near the river,all_sense_scores_zero,top_sense=stone | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=rock | cue=mineral -> stone | positive_cue=mineral -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=mineral -> rock:stone,yes,yes,no,yes
kp-v1-042,rock,stone,A boulder of solid rock blocked the trail on the hillside,continue,hillside,low,continue,stone,A boulder of solid rock blocked the trail on the hillside and lay near the river,continue,stone,A boulder of solid rock blocked the trail on the hillside and lay near the river,top_sense=stone | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=trail -> stone | positive_cue=trail -> stone | cue=boulder -> stone | positive_cue=boulder -> stone | cue=hillside -> stone | positive_cue=hillside -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=hillside -> rock:stone,no,no,no,yes
kp-v1-043,rock,stone,Geology experts noted the rock formation near the mountain trail,continue,geology,low,continue,stone,Geology experts noted the rock formation near the mountain trail and lay near the river,continue,stone,Geology experts noted the rock formation near the mountain trail and lay near the river,top_sense=stone | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=mountain -> stone | positive_cue=mountain -> stone | cue=trail -> stone | positive_cue=trail -> stone | cue=geology -> stone | positive_cue=geology -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=geology -> rock:stone,no,no,no,yes
kp-v1-044,rock,stone,The heavy rock lay near the mountain stream at the base of the cliff,continue,mineral,low,continue,stone,The heavy rock lay near the mountain stream at the base of the cliff and lay near the river,continue,stone,The heavy rock lay near the mountain stream at the base of the cliff and lay near the river,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=stone | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=mountain -> stone | positive_cue=mountain -> stone | cue=heavy -> stone | positive_cue=heavy -> stone | cue=cliff -> stone | positive_cue=cliff -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone,no,no,no,no
kp-v1-045,rock,stone,The rock band rehearsed near the cliff while climbers scaled the boulder,audit,mineral,medium,audit,,,audit,,,top_sense=stone | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=stone | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=rock | cue=cliff -> stone | positive_cue=cliff -> stone | cue=boulder -> stone | positive_cue=boulder -> stone | cue=band -> music | positive_cue=band -> music | conflict_detected,no,no,no,no
kp-v1-046,rock,music,The rock band released a new album to sold-out crowds,continue,album,low,continue,music,The rock band released a new album to sold-out crowds and filled the stadium,continue,music,The rock band released a new album to sold-out crowds and filled the stadium,top_sense=music | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=rock | cue=band -> music | positive_cue=band -> music | cue=album -> music | positive_cue=album -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=album -> rock:music,no,no,no,yes
kp-v1-047,rock,music,He played drums on the stage at the rock concert,continue,drum,low,continue,music,He played drums on the stage at the rock concert and filled the stadium,continue,music,He played drums on the stage at the rock concert and filled the stadium,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=rock | cue=concert -> music | positive_cue=concert -> music | cue=stage -> music | positive_cue=stage -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music,no,no,no,no
kp-v1-048,rock,music,Rock is a genre that includes punk and metal subgenres,continue,genre,low,audit,,,continue,music,Rock is a genre that includes punk and metal subgenres and filled the stadium,all_sense_scores_zero,top_sense=music | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=rock | cue=genre -> music | positive_cue=genre -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=genre -> rock:music,yes,yes,no,yes
kp-v1-049,rock,music,The rock crowd cheered as the band played on the stage,continue,album,low,continue,music,The rock crowd cheered as the band played on the stage and filled the stadium,continue,music,The rock crowd cheered as the band played on the stage and filled the stadium,top_sense=music | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=music | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=rock | cue=band -> music | positive_cue=band -> music | cue=stage -> music | positive_cue=stage -> music | cue=crowd -> music | positive_cue=crowd -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music,no,no,no,no
kp-v1-050,rock,music,The drum kit sat on the flat rock near the cliff by the stage,audit,drum,medium,audit,,,audit,,,top_sense=music | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,top_sense=music | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=rock | cue=cliff -> stone | positive_cue=cliff -> stone | cue=stage -> music | positive_cue=stage -> music | cue=drum -> music | positive_cue=drum -> music | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=drum -> rock:music,no,no,no,yes
kp-v1-051,spring,season,Spring flowers bloomed in the garden after the morning rain,continue,bloom,low,continue,season,Spring flowers bloomed in the garden after the morning rain brought warmer days,continue,season,Spring flowers bloomed in the garden after the morning rain brought warmer days,top_sense=season | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=season | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=spring | cue=flowers -> season | positive_cue=flowers -> season | cue=garden -> season | positive_cue=garden -> season | cue=rain -> season | positive_cue=rain -> season | cue=morning -> season | positive_cue=morning -> season | realization_type=clause_after_after_subject | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=brought warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=morning -> spring:season,no,no,no,yes
kp-v1-052,spring,season,The spring migration brought birds to the lake every year,continue,migration,low,audit,,,continue,season,The spring migration brought birds to the lake every year and brought warmer days,all_sense_scores_zero,top_sense=season | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=spring | cue=migration -> season | positive_cue=migration -> season | realization_type=neutral_extension | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and brought warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=migration -> spring:season,yes,yes,no,yes
kp-v1-053,spring,season,Fresh spring mornings followed the thaw each year,continue,morning,low,continue,season,Fresh spring mornings followed the thaw each year and brought warmer days,continue,season,Fresh spring mornings followed the thaw each year and brought warmer days,top_sense=season | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=season | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=thaw -> season | positive_cue=thaw -> season | cue=mornings -> season | positive_cue=mornings -> season | realization_type=neutral_extension | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and brought warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season,no,no,no,no
kp-v1-054,spring,season,Spring was the season when flowers bloomed and birds returned,continue,flower,low,continue,season,Spring was the season when flowers bloomed and birds returned and brought warmer days,continue,season,Spring was the season when flowers bloomed and birds returned and brought warmer days,top_sense=season | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=season | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=spring | cue=flowers -> season | positive_cue=flowers -> season | realization_type=neutral_extension | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and brought warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season,no,no,no,no
kp-v1-055,spring,season,The spring in the latch clicked as the spring rain filled the garden,audit,bloom,medium,audit,,,audit,,,top_sense=season | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=season | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=spring | cue=garden -> season | positive_cue=garden -> season | cue=rain -> season | positive_cue=rain -> season | cue=latch -> coil | positive_cue=latch -> coil | conflict_detected,no,no,no,no
kp-v1-056,spring,coil,The coil spring in the door handle under constant tension,continue,coil,low,continue,coil,The coil spring in the door handle under constant tension and snapped back into place,continue,coil,The coil spring in the door handle under constant tension and snapped back into place,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=coil | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=spring | cue=tension -> coil | positive_cue=tension -> coil | cue=handle -> coil | positive_cue=handle -> coil | cue=coil -> coil | positive_cue=coil -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=coil -> spring:coil,no,no,no,yes
kp-v1-057,spring,coil,An elastic spring in the mattress provided comfortable support,continue,mattress,low,audit,,,continue,coil,An elastic spring in the mattress provided comfortable support and snapped back into place,all_sense_scores_zero,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=elastic -> coil | positive_cue=elastic -> coil | cue=mattress -> coil | positive_cue=mattress -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=elastic -> spring:coil | provider_cue=mattress -> spring:coil,yes,yes,no,yes
kp-v1-058,spring,coil,The worn spring in the latch caused the handle to stick,continue,elastic,low,continue,coil,The worn spring in the latch caused the handle to stick and snapped back into place,continue,coil,The worn spring in the latch caused the handle to stick and snapped back into place,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=latch -> coil | positive_cue=latch -> coil | cue=handle -> coil | positive_cue=handle -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil,no,no,no,no
kp-v1-059,spring,coil,The elastic spring inside the device maintained tension throughout the bounce,continue,elastic,low,continue,coil,The elastic spring inside the device maintained tension throughout the bounce and snapped back into place,continue,coil,The elastic spring inside the device maintained tension throughout the bounce and snapped back into place,top_sense=coil | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=coil | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=spring | cue=tension -> coil | positive_cue=tension -> coil | cue=bounce -> coil | positive_cue=bounce -> coil | cue=device -> coil | positive_cue=device -> coil | cue=elastic -> coil | positive_cue=elastic -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=elastic -> spring:coil,no,no,no,yes
kp-v1-060,spring,coil,The metal spring latch compressed as the spring flowers bloomed in the warm garden,audit,coil,medium,audit,,,audit,,,top_sense=coil | top_score=3 | second_score=3 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,top_sense=coil | top_score=3 | second_score=3 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=spring | cue=flowers -> season | positive_cue=flowers -> season | cue=warm -> season | positive_cue=warm -> season | cue=garden -> season | positive_cue=garden -> season | cue=metal -> coil | positive_cue=metal -> coil | cue=compressed -> coil | positive_cue=compressed -> coil | cue=latch -> coil | positive_cue=latch -> coil | conflict_detected,no,no,no,no
