id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,sample_index,completion,full_text,generation_time_sec,device,max_new_tokens,temperature,top_k,seed
v1-090,The spring was not a metal device after the thaw made the fields,spring,season,negation,Negated metal device cue should not block season,nanogpt:gpt2,0,"and the water muddy.

""The water was not muddy, but wet,"" says Dr.","The spring was not a metal device after the thaw made the fields and the water muddy.

""The water was not muddy, but wet,"" says Dr.",0.3783,mps,20,0.8,40,1337
v1-091,The rock was not a stone after the guitarist tuned up and,rock,music,negation,Negated stone cue should not override music evidence,nanogpt:gpt2,0,"began playing that same song he'd done in his last album with the band, ""Riot"".","The rock was not a stone after the guitarist tuned up and began playing that same song he'd done in his last album with the band, ""Riot"".",0.3790,mps,20,0.8,40,1337
v1-092,The rock was not a song as it scraped his boot and,rock,stone,negation,Negated song cue should not override physical contact,nanogpt:gpt2,0,"started to turn on his head. A moment later, he was on the ground. He had fallen","The rock was not a song as it scraped his boot and started to turn on his head. A moment later, he was on the ground. He had fallen",0.3846,mps,20,0.8,40,1337
v1-093,The bank was not about credit when the canoe scraped it and,bank,river_edge,negation,Negated credit cue should not override canoe context,nanogpt:gpt2,0,"ended up on the riverbank. For the next two years, they looked for other locations, searching","The bank was not about credit when the canoe scraped it and ended up on the riverbank. For the next two years, they looked for other locations, searching",0.3868,mps,20,0.8,40,1337
v1-094,The bat was not flying when the player set it beside home plate and,bat,sports_equipment,negation,Negated flying cue should not block equipment,nanogpt:gpt2,0,"hit it home. He was hit by a bat. He was hit by a helmet.

","The bat was not flying when the player set it beside home plate and hit it home. He was hit by a bat. He was hit by a helmet.

",0.3783,mps,20,0.8,40,1337
v1-095,The seal was not on a document when it dove for fish and,seal,animal,negation,Negated document cue should not block animal behavior,nanogpt:gpt2,0,"then landed on his head.

""He didn't know what he was doing,"" said her","The seal was not on a document when it dove for fish and then landed on his head.

""He didn't know what he was doing,"" said her",0.3734,mps,20,0.8,40,1337
v1-096,The river mural covered the bank lobby as the teller,bank,financial_institution,misleading_surface_cue,River surface cue points wrong while lobby and teller favor finance,nanogpt:gpt2,0,"of the message hung a sign that read, ""The city's open water is not your problem.""","The river mural covered the bank lobby as the teller of the message hung a sign that read, ""The city's open water is not your problem.""",0.3735,mps,20,0.8,40,1337
v1-097,A cash wrapper floated to the bank where reeds,bank,river_edge,misleading_surface_cue,Cash cue points finance while natural setting favors river edge,nanogpt:gpt2,0,"flowed into it. ""I am the only one who has been able to buy this,"" his mother","A cash wrapper floated to the bank where reeds flowed into it. ""I am the only one who has been able to buy this,"" his mother",0.3764,mps,20,0.8,40,1337
v1-098,The cave logo was painted on the bat before the player,bat,sports_equipment,misleading_surface_cue,Cave surface cue points animal while player favors equipment,nanogpt:gpt2,0,"could get the button pressed.

The logo of The Cave also featured a short cutscene with","The cave logo was painted on the bat before the player could get the button pressed.

The logo of The Cave also featured a short cutscene with",0.3751,mps,20,0.8,40,1337
v1-099,The injured player pointed at the bat above the rafters as it,bat,animal,misleading_surface_cue,Player cue points equipment while rafters and motion favor animal,nanogpt:gpt2,0,"was not immediately clear to him what was on it. Then, in a loud voice, he turned","The injured player pointed at the bat above the rafters as it was not immediately clear to him what was on it. Then, in a loud voice, he turned",0.3740,mps,20,0.8,40,1337
v1-100,The ocean blue seal on the envelope began to,seal,closure_stamp,misleading_surface_cue,Ocean surface cue points animal while envelope favors closure,nanogpt:gpt2,0,cry out. The ship had been cut off because of an accident with the ocean blue seal on the,The ocean blue seal on the envelope began to cry out. The ship had been cut off because of an accident with the ocean blue seal on the,0.3684,mps,20,0.8,40,1337
v1-101,The package label showed a seal swimming as the animal,seal,animal,misleading_surface_cue,Package cue points closure while swimming and animal favor mammal,nanogpt:gpt2,0,"was being fed.

""In the end it's really hard to go up there and look","The package label showed a seal swimming as the animal was being fed.

""In the end it's really hard to go up there and look",0.3695,mps,20,0.8,40,1337
v1-102,The marsh exhibit used a crane to lift scenery while the operator,crane,machine,misleading_surface_cue,Marsh cue points bird while operator and lift favor machine,nanogpt:gpt2,0,was working on the crane. The crane can be seen above the bridge to the left of the display,The marsh exhibit used a crane to lift scenery while the operator was working on the crane. The crane can be seen above the bridge to the left of the display,0.3730,mps,20,0.8,40,1337
v1-103,The steel sculpture looked like a crane until the bird,crane,bird,misleading_surface_cue,Steel cue points machine while explicit bird resolves animal,nanogpt:gpt2,0,flew out of the sky and landed in the desert. I got up and took off my shoes to,The steel sculpture looked like a crane until the bird flew out of the sky and landed in the desert. I got up and took off my shoes to,0.3718,mps,20,0.8,40,1337
v1-104,The flowers painted on the spring inside the device,spring,coil,misleading_surface_cue,Flowers cue points season while device favors coil,nanogpt:gpt2,0,"are a bit of a surprise. It's a simple design to look at, but it has some","The flowers painted on the spring inside the device are a bit of a surprise. It's a simple design to look at, but it has some",0.3703,mps,20,0.8,40,1337
v1-105,The metal sign announced spring as rain,spring,season,misleading_surface_cue,Metal cue points coil while rain favors season,nanogpt:gpt2,0,", and the sun came up to show. The day would pass with no clouds, just snow and","The metal sign announced spring as rain, and the sun came up to show. The day would pass with no clouds, just snow and",0.3681,mps,20,0.8,40,1337
v1-106,The mountain venue shook when the rock band,rock,music,misleading_surface_cue,Mountain cue points stone while band favors music,nanogpt:gpt2,0,"came down. ""They wanted our attention,"" he said. ""They didn't want to pay for","The mountain venue shook when the rock band came down. ""They wanted our attention,"" he said. ""They didn't want to pay for",0.3659,mps,20,0.8,40,1337
v1-107,After the concert the rock on the ground,rock,stone,misleading_surface_cue,Concert cue points music while ground favors stone,nanogpt:gpt2,0,"began cracking as you could just hear the crackling of the rock, but the sound was rather weak","After the concert the rock on the ground began cracking as you could just hear the crackling of the rock, but the sound was rather weak",0.3657,mps,20,0.8,40,1337
v1-108,The fish emblem sat under the seal on the document,seal,closure_stamp,misleading_surface_cue,Fish cue points animal while document favors closure,nanogpt:gpt2,0,".

I said, ""I'm not going to lie. I want all of you to","The fish emblem sat under the seal on the document.

I said, ""I'm not going to lie. I want all of you to",0.3692,mps,20,0.8,40,1337
v1-109,A credit card lay on the bank beside the stream,bank,river_edge,misleading_surface_cue,Credit card cue points finance while stream favors river edge,nanogpt:gpt2,0,bed. I was waiting to see his face on the front of the picture. He looked at me,A credit card lay on the bank beside the streambed. I was waiting to see his face on the front of the picture. He looked at me,0.3738,mps,20,0.8,40,1337
v1-110,The wing shaped crane at the site lifted,crane,machine,misleading_surface_cue,Wing surface cue points bird while site and lifted favor machine,nanogpt:gpt2,0,"off the runway and then raised off the ground.

An analysis by the Aviation Weather Prediction Center","The wing shaped crane at the site lifted off the runway and then raised off the ground.

An analysis by the Aviation Weather Prediction Center",0.3679,mps,20,0.8,40,1337
v1-111,He went to the bank and,bank,,no_clear_answer,Known term appears without enough context for either sense,nanogpt:gpt2,0,"pulled out a gun. ""He's doing a great job, but you don't want to take","He went to the bank and pulled out a gun. ""He's doing a great job, but you don't want to take",0.8136,mps,20,0.8,40,1337
v1-112,She noticed the bat and,bat,,no_clear_answer,Known term appears with no reliable animal or equipment evidence,nanogpt:gpt2,0,"she went into the bathroom.

The woman, a police spokesperson said, ""was shocked and","She noticed the bat and she went into the bathroom.

The woman, a police spokesperson said, ""was shocked and",0.7904,mps,20,0.8,40,1337
v1-113,They checked the seal before,seal,,no_clear_answer,Known term appears but action fits multiple senses,nanogpt:gpt2,0,"returning to the station to confirm it was still in.

""I guess I'll have to","They checked the seal before returning to the station to confirm it was still in.

""I guess I'll have to",0.4198,mps,20,0.8,40,1337
v1-114,The crane stood nearby while,crane,,no_clear_answer,Known term appears with no decisive bird or machine evidence,nanogpt:gpt2,0,members of The Council of Ten went over the rubble and the wreckage. They then headed towards the city,The crane stood nearby while members of The Council of Ten went over the rubble and the wreckage. They then headed towards the city,0.4102,mps,20,0.8,40,1337
v1-115,The spring returned and,spring,,no_clear_answer,Known term appears with no decisive season or coil evidence,nanogpt:gpt2,0,the snow had finally settled. The wind had moved away and I had moved to the back of the,The spring returned and the snow had finally settled. The wind had moved away and I had moved to the back of the,0.9886,mps,20,0.8,40,1337
v1-116,The teacher opened the notebook and,,,no_known_term,No supported ambiguous term appears,nanogpt:gpt2,0,"read it. It was written by someone who was a teacher at the school, not by the student","The teacher opened the notebook and read it. It was written by someone who was a teacher at the school, not by the student",0.3776,mps,20,0.8,40,1337
v1-117,The chef placed the bowl near the window and,,,no_known_term,Prompt avoids all supported ambiguous terms,nanogpt:gpt2,0,"sat down so it wouldn't hit the floor. ""That's the first step,"" a man in","The chef placed the bowl near the window and sat down so it wouldn't hit the floor. ""That's the first step,"" a man in",0.3899,mps,20,0.8,40,1337
v1-118,The driver waited at the corner before,,,no_known_term,Prompt has no known benchmark term,nanogpt:gpt2,0,"going inside to give a friend directions.

The driver said, ""I just want to ask","The driver waited at the corner before going inside to give a friend directions.

The driver said, ""I just want to ask",0.3817,mps,20,0.8,40,1337
v1-119,The painter mixed a pale color and,,,no_known_term,Prompt contains no supported ambiguous term,nanogpt:gpt2,0,"a dark green base to create the image we were aiming for.

As a result, the","The painter mixed a pale color and a dark green base to create the image we were aiming for.

As a result, the",0.3975,mps,20,0.8,40,1337
v1-120,The child folded the paper carefully and,,,no_known_term,Prompt has no known ambiguous term and should audit,nanogpt:gpt2,0,flipped it out. The children were watching it. The child began to laugh. He told a friend,The child folded the paper carefully and flipped it out. The children were watching it. The child began to laugh. He told a friend,0.3673,mps,20,0.8,40,1337
