id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,continuation,selected_sense,confidence,decision,reasons,memory_hits,trusted_decision,trusted_continuation,candidate_continuation,candidate_full_text,candidate_status,candidate_risk,candidate_source,candidate_review_action,candidate_reason,candidate_selected_sense,candidate_validation_status,candidate_trace,candidate_learning_payload
v1-030,On the pier the seal raised its head while tourists,seal,animal,weak_cue,Pier and tourists imply the marine animal indirectly,,animal,0.6667,audit,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds | prompt_tail_validator=rejected | prompt_tail_rule=while_subject_tail | prompt_tail_rejection=while_subject_requires_predicate_for_subject | audit_reason=prompt_tail_incompatible,term=seal | cue=pier -> animal | positive_cue=pier -> animal | cue=tourists -> animal | positive_cue=tourists -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and swam through the cold water | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=rejected | prompt_tail_rule=while_subject_tail | prompt_tail_rejection=while_subject_requires_predicate_for_subject | prompt_tail_evidence=tail_while_subject=tourists | prompt_tail_evidence=phrase=and swam through the cold water | selected_sense=animal,audit,,,,unavailable,none,none,keep_audit,proposal action keep_audit keeps row out of candidate generation,animal,not_run,proposal_action=keep_audit,{}
v1-031,The clerk warmed the seal before closing the parcel and,seal,closure_stamp,weak_cue,Clerk and parcel imply closure without built in cues,The clerk warmed the seal before closing the parcel and the wax hardened,closure_stamp,0.7500,continue,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=clerk -> closure_stamp | positive_cue=clerk -> closure_stamp | cue=closing -> closure_stamp | positive_cue=closing -> closure_stamp | cue=parcel -> closure_stamp | positive_cue=parcel -> closure_stamp | realization_type=clause_after_and | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp,continue,The clerk warmed the seal before closing the parcel and the wax hardened,the wax hardened,The clerk warmed the seal before closing the parcel and the wax hardened,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,closure_stamp,trusted,candidate_status=trusted,{}
v1-032,She broke the seal at the flap and,seal,closure_stamp,weak_cue,Flap and breaking imply a closure but not a direct cue,She broke the seal at the flap and the wax hardened,closure_stamp,0.5000,continue,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=flap -> closure_stamp | positive_cue=flap -> closure_stamp | realization_type=clause_after_and | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the wax hardened | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp,continue,She broke the seal at the flap and the wax hardened,the wax hardened,She broke the seal at the flap and the wax hardened,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,closure_stamp,trusted,candidate_status=trusted,{}
v1-033,At dawn the crane stepped through reeds and,crane,bird,weak_cue,Dawn reeds and stepping imply bird behavior weakly,At dawn the crane stepped through reeds and it spread its wings,bird,0.6667,continue,top_sense=bird | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=dawn -> bird | positive_cue=dawn -> bird | cue=reeds -> bird | positive_cue=reeds -> bird | realization_type=clause_after_and | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=it spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,continue,At dawn the crane stepped through reeds and it spread its wings,it spread its wings,At dawn the crane stepped through reeds and it spread its wings,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,bird,trusted,candidate_status=trusted,{}
v1-034,The photographer waited as the crane bent its long neck to,crane,bird,weak_cue,Long neck and photographer imply a bird without direct cues,The photographer waited as the crane bent its long neck to step through the reeds,bird,0.6667,continue,top_sense=bird | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=neck -> bird | positive_cue=neck -> bird | cue=photographer -> bird | positive_cue=photographer -> bird | realization_type=infinitive_after_to | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=step through the reeds | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,continue,The photographer waited as the crane bent its long neck to step through the reeds,step through the reeds,The photographer waited as the crane bent its long neck to step through the reeds,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,bird,trusted,candidate_status=trusted,{}
v1-035,The foreman signaled and the crane turned toward,crane,machine,weak_cue,Foreman and signaling imply machinery but avoid supported cues,The foreman signaled and the crane turned toward the load,machine,0.5000,continue,top_sense=machine | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=foreman -> machine | positive_cue=foreman -> machine | realization_type=neutral_extension | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and carried the load | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=turned_toward_object_repair | prompt_tail_evidence=tail_preposition=turned_toward | prompt_tail_evidence=phrase=and carried the load | prompt_tail_repair=applied | prompt_tail_repaired_candidate=the load | selected_sense=machine,continue,The foreman signaled and the crane turned toward the load,the load,The foreman signaled and the crane turned toward the load,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,machine,trusted,candidate_status=trusted,{}
v1-036,The crew waited below the crane as the hook,crane,machine,weak_cue,Crew and hook imply machinery without explicit cue words,The crew waited below the crane as the hook rose,machine,0.6667,continue,top_sense=machine | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=crew -> machine | positive_cue=crew -> machine | cue=hook -> machine | positive_cue=hook -> machine | realization_type=clause_after_as | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=the operator checked the cables | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=as_hook_predicate_repair | prompt_tail_evidence=tail_as_subject=the_hook | prompt_tail_evidence=phrase=the operator checked the cables | prompt_tail_repair=applied | prompt_tail_repaired_candidate=rose | selected_sense=machine,continue,The crew waited below the crane as the hook rose,rose,The crew waited below the crane as the hook rose,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,machine,trusted,candidate_status=trusted,{}
v1-037,After the thaw the spring mornings made everyone,spring,season,weak_cue,Thaw and mornings imply the season without cue rich wording,After the thaw the spring mornings made everyone feel warmer,season,0.6667,continue,top_sense=season | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=thaw -> season | positive_cue=thaw -> season | cue=mornings -> season | positive_cue=mornings -> season | realization_type=neutral_extension | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and brought warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=made_everyone_season_complement_repair | prompt_tail_evidence=tail_complement=made_everyone | prompt_tail_evidence=phrase=and brought warmer days | prompt_tail_repair=applied | prompt_tail_repaired_candidate=feel warmer | selected_sense=season,continue,After the thaw the spring mornings made everyone feel warmer,feel warmer,After the thaw the spring mornings made everyone feel warmer,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,season,trusted,candidate_status=trusted,{}
v1-038,The latch clicked when the spring inside the handle,spring,coil,weak_cue,Latch and handle imply a mechanical coil indirectly,The latch clicked when the spring inside the handle snapped back into place,coil,0.6667,continue,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=latch -> coil | positive_cue=latch -> coil | cue=handle -> coil | positive_cue=handle -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=redundant_and_after_existing_subject | prompt_tail_evidence=phrase=and snapped back into place | prompt_tail_repair=applied | prompt_tail_repaired_candidate=snapped back into place | selected_sense=coil,continue,The latch clicked when the spring inside the handle snapped back into place,snapped back into place,The latch clicked when the spring inside the handle snapped back into place,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,coil,trusted,candidate_status=trusted,{}
v1-039,He kicked the rock from the trail and,rock,stone,weak_cue,Trail and kicking imply a physical stone without cue hits,He kicked the rock from the trail and it scraped the ground,stone,0.5000,continue,top_sense=stone | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=rock | cue=trail -> stone | positive_cue=trail -> stone | realization_type=clause_after_and | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=it scraped the ground | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=stone,continue,He kicked the rock from the trail and it scraped the ground,it scraped the ground,He kicked the rock from the trail and it scraped the ground,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,stone,trusted,candidate_status=trusted,{}
v1-040,The crowd knew the rock would get louder after,rock,music,weak_cue,Crowd and loudness imply music but only weakly,The crowd knew the rock would get louder after the band started playing,music,0.6667,continue,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=rock | cue=crowd -> music | positive_cue=crowd -> music | cue=louder -> music | positive_cue=louder -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_rule=after_music_event_repair | prompt_tail_evidence=tail_subordinator=after | prompt_tail_evidence=phrase=and filled the stadium | prompt_tail_repair=applied | prompt_tail_repaired_candidate=the band started playing | selected_sense=music,continue,The crowd knew the rock would get louder after the band started playing,the band started playing,The crowd knew the rock would get louder after the band started playing,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,music,trusted,candidate_status=trusted,{}
v1-041,He stood by the bank unsure where to sit until the current,bank,river_edge,delayed_cue,The resolving current cue arrives late after ambiguous setup,,river_edge,0.5000,audit,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds | audit_reason=surface_realization_risk | surface_pattern=malformed_until_subject | audit_reason=no_safe_semantic_candidate,term=bank | cue=current -> river_edge | positive_cue=current -> river_edge | realization_type=clause_after_until_subject | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | surface_risk=malformed_until_subject | selected_sense=river_edge,audit,,,,unavailable,none,none,revise,"no candidate survived renderer, repair, prompt-tail, and surface validation",river_edge,not_run,candidate_count=1 | candidate_attempts=0,"{""candidate_phrase"": """", ""conflicting_cues"": [], ""needed_memory"": [""phrase_candidate:explicit safe predicate for unfinished until-subject tail""], ""prompt_cues"": [""sit"", ""stood"", ""unsure""], ""proposed_positive_cues"": [], ""semantic_frame"": ""river_edge_activity"", ""target_sense"": ""river_edge"", ""term"": ""bank""}"
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end,She waited inside the bank without speaking until the teller called her forward,financial_institution,0.5000,continue,top_sense=financial_institution | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | realization_type=clause_after_until_subject | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=called her forward | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution,continue,She waited inside the bank without speaking until the teller called her forward,called her forward,She waited inside the bank without speaking until the teller called her forward,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,financial_institution,trusted,candidate_status=trusted,{}
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening,The bat rested in the corner and only after sunset its wings spread wide,animal,0.5000,continue,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bat | cue=wings -> animal | positive_cue=wings -> animal | realization_type=clause_after_after_subject | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=searched for insects | surface_repair=applied | subject_action_validator=repaired | surface_repair_rule=subject_action_bodypart_rewrite | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=spread wide | selected_sense=animal,continue,The bat rested in the corner and only after sunset its wings spread wide,spread wide,The bat rested in the corner and only after sunset its wings spread wide,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing,,,0.0000,audit,all_sense_scores_zero,term=bat,audit,,hit the ball,He picked up the bat with no comment until the pitcher hit the ball,untrusted,low,audit_fix_proposal,accept_as_training_example,explicit untrusted candidate generated for supervised review,sports_equipment,passed,candidate_count=2 | connector_match=clause_after_until_subject | overlap=0 | selected_best_candidate | surface_repair=clean | subject_action_validator=passed | candidate_validation=passed,"{""candidate_phrase"": ""hit the ball"", ""conflicting_cues"": [], ""needed_memory"": [], ""prompt_cues"": [""pitcher""], ""proposed_positive_cues"": [""pitcher""], ""semantic_frame"": ""sports_action"", ""target_sense"": ""sports_equipment"", ""term"": ""bat""}"
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end,,animal,0.5000,audit,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds | audit_reason=surface_realization_risk | surface_pattern=malformed_until_subject | audit_reason=no_safe_semantic_candidate,term=seal | cue=fish -> animal | positive_cue=fish -> animal | realization_type=clause_after_until_subject | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=1 | surface_risk=malformed_until_subject | selected_sense=animal,audit,,dove below the surface,The seal lay still on the platform until the fish dove below the surface,untrusted,medium,audit_fix_proposal,revise,explicit untrusted candidate generated for supervised review,animal,passed,candidate_count=2 | connector_match=clause_after_until_subject | overlap=0 | selected_best_candidate | surface_repair=clean | subject_action_validator=passed | candidate_validation=passed,"{""candidate_phrase"": ""dove below the surface"", ""conflicting_cues"": [], ""needed_memory"": [""phrase_candidate:explicit safe predicate for unfinished until-subject tail""], ""prompt_cues"": [""fish""], ""proposed_positive_cues"": [], ""semantic_frame"": ""animal_behavior"", ""target_sense"": ""animal"", ""term"": ""seal""}"
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax,She studied the seal for a moment before pressing it into wax and marked the document,closure_stamp,0.5000,continue,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=seal | cue=wax -> closure_stamp | positive_cue=wax -> closure_stamp | realization_type=neutral_extension | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and marked the document | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=closure_stamp,continue,She studied the seal for a moment before pressing it into wax and marked the document,and marked the document,She studied the seal for a moment before pressing it into wax and marked the document,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,closure_stamp,trusted,candidate_status=trusted,{}
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end,,bird,0.5000,audit,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds | audit_reason=surface_realization_risk | surface_pattern=malformed_before_wings | audit_reason=no_safe_semantic_candidate,term=crane | cue=wings -> bird | positive_cue=wings -> bird | realization_type=clause_after_before_subject | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=1 | surface_risk=malformed_before_wings | selected_sense=bird,audit,,,,unavailable,none,none,revise,"no candidate survived renderer, repair, prompt-tail, and surface validation",bird,not_run,candidate_count=1 | candidate_attempts=0,"{""candidate_phrase"": """", ""conflicting_cues"": [], ""needed_memory"": [""phrase_candidate:explicit connector-compatible phrase candidate for the selected sense""], ""prompt_cues"": [""wings""], ""proposed_positive_cues"": [], ""semantic_frame"": ""bird_behavior"", ""target_sense"": ""bird"", ""term"": ""crane""}"
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape,The crane waited above the lot until the operator lowered the hook,machine,0.5000,continue,top_sense=machine | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=operator -> machine | positive_cue=operator -> machine | realization_type=clause_after_until_subject | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=lowered the hook | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=machine,continue,The crane waited above the lot until the operator lowered the hook,lowered the hook,The crane waited above the lot until the operator lowered the hook,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,machine,trusted,candidate_status=trusted,{}
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late,The spring seemed ordinary until April rain began to bring warmer days,season,0.6667,continue,top_sense=season | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=april -> season | positive_cue=april -> season | cue=rain -> season | positive_cue=rain -> season | realization_type=infinitive_after_to | semantic_frame_intent=seasonal_change | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=bring warmer days | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=season,continue,The spring seemed ordinary until April rain began to bring warmer days,bring warmer days,The spring seemed ordinary until April rain began to bring warmer days,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,season,trusted,candidate_status=trusted,{}
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun,The spring looked harmless until the device compressed it and snapped back into place,coil,0.6667,continue,top_sense=coil | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=spring | cue=compressed -> coil | positive_cue=compressed -> coil | cue=device -> coil | positive_cue=device -> coil | realization_type=neutral_extension | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil,continue,The spring looked harmless until the device compressed it and snapped back into place,and snapped back into place,The spring looked harmless until the device compressed it and snapped back into place,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,coil,trusted,candidate_status=trusted,{}
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late,,stone,0.5000,audit,top_sense=stone | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds | surface_repair_reason=attachment_drift | audit_reason=no_safe_repaired_candidate,term=rock | cue=cliff -> stone | positive_cue=cliff -> stone | realization_type=neutral_extension | semantic_frame_intent=stone_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and lay near the river | attachment_drift | surface_repair_reason=attachment_drift | selected_sense=stone,audit,,,,unavailable,none,none,keep_audit,proposal action keep_audit keeps row out of candidate generation,stone,not_run,proposal_action=keep_audit,{}
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start,The rock sounded flat until the drummer came on stage and filled the stadium,music,0.6667,continue,top_sense=music | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=rock | cue=drummer -> music | positive_cue=drummer -> music | cue=stage -> music | positive_cue=stage -> music | realization_type=neutral_extension | semantic_frame_intent=music_performance | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and filled the stadium | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=music,continue,The rock sounded flat until the drummer came on stage and filled the stadium,and filled the stadium,The rock sounded flat until the drummer came on stage and filled the stadium,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,music,trusted,candidate_status=trusted,{}
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence,,,0.0000,audit,all_sense_scores_zero | audit_reason=guard_failure,term=bank | cue=cash -> financial_institution | positive_cue=cash -> financial_institution | guard_failure=cash_or_card_alone_insufficient -> financial_institution,audit,,and completed the transaction,They approached the bank in silence and only then counted the cash and completed the transaction,untrusted,low,audit_fix_proposal,accept_as_training_example,explicit untrusted candidate generated for supervised review,financial_institution,passed,candidate_count=1 | connector_match=neutral_extension | overlap=0 | selected_best_candidate | surface_repair=clean | subject_action_validator=passed | candidate_validation=passed,"{""candidate_phrase"": ""and completed the transaction"", ""conflicting_cues"": [], ""needed_memory"": [], ""prompt_cues"": [""cash""], ""proposed_positive_cues"": [""cash""], ""semantic_frame"": ""transaction"", ""target_sense"": ""financial_institution"", ""term"": ""bank""}"
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity,The bank looked empty from above until the boat touched the mud,river_edge,0.5000,continue,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bank | cue=boat -> river_edge | positive_cue=boat -> river_edge | realization_type=clause_after_until_subject | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=touched the mud | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge,continue,The bank looked empty from above until the boat touched the mud,touched the mud,The bank looked empty from above until the boat touched the mud,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,river_edge,trusted,candidate_status=trusted,{}
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity,,,0.0000,audit,all_sense_scores_zero | audit_reason=guard_failure,term=bat | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | guard_failure=player_alone_insufficient -> sports_equipment,audit,,hit the ball,The bat seemed too small until the player hit the ball,untrusted,low,audit_fix_proposal,accept_as_training_example,explicit untrusted candidate generated for supervised review,sports_equipment,passed,candidate_count=2 | connector_match=clause_after_until_subject | overlap=0 | selected_best_candidate | surface_repair=clean | subject_action_validator=passed | candidate_validation=passed,"{""candidate_phrase"": ""hit the ball"", ""conflicting_cues"": [], ""needed_memory"": [], ""prompt_cues"": [""player""], ""proposed_positive_cues"": [""player""], ""semantic_frame"": ""sports_action"", ""target_sense"": ""sports_equipment"", ""term"": ""bat""}"
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late,,closure_stamp,0.5000,audit,top_sense=closure_stamp | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds | audit_reason=surface_realization_risk | surface_pattern=malformed_until_subject | audit_reason=no_safe_semantic_candidate,term=seal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | realization_type=clause_after_until_subject | semantic_frame_intent=document_closure | renderer=semantic_renderer_v2 | candidate_count=1 | surface_risk=malformed_until_subject | selected_sense=closure_stamp,audit,,marked it,The seal looked plain until the document marked it,untrusted,medium,audit_fix_proposal,revise,explicit untrusted candidate generated for supervised review,closure_stamp,passed,candidate_count=2 | connector_match=clause_after_until_subject | overlap=1 | selected_best_candidate | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | candidate_validation=passed,"{""candidate_phrase"": ""marked it"", ""conflicting_cues"": [], ""needed_memory"": [""phrase_candidate:explicit safe predicate for unfinished until-subject tail""], ""prompt_cues"": [""document""], ""proposed_positive_cues"": [], ""semantic_frame"": ""document_closure"", ""target_sense"": ""closure_stamp"", ""term"": ""seal""}"
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence,,machine,0.6667,audit,top_sense=machine | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds | audit_reason=surface_realization_risk | surface_pattern=malformed_before_it_operator | audit_reason=no_safe_semantic_candidate,term=crane | cue=lifted -> machine | positive_cue=lifted -> machine | cue=steel -> machine | positive_cue=steel -> machine | realization_type=clause_after_before_subject | semantic_frame_intent=construction_action | renderer=semantic_renderer_v2 | candidate_count=1 | surface_risk=malformed_before_it_operator | selected_sense=machine,audit,,,,unavailable,none,none,revise,"no candidate survived renderer, repair, prompt-tail, and surface validation",machine,not_run,candidate_count=1 | candidate_attempts=0,"{""candidate_phrase"": """", ""conflicting_cues"": [], ""needed_memory"": [""phrase_candidate:explicit connector-compatible phrase candidate for the selected sense""], ""prompt_cues"": [""long"", ""steel"", ""lifted""], ""proposed_positive_cues"": [], ""semantic_frame"": ""construction_action"", ""target_sense"": ""machine"", ""term"": ""crane""}"
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence,The crane was silent for a long time before the bird spread its wings,bird,0.5000,continue,top_sense=bird | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=crane | cue=bird -> bird | positive_cue=bird -> bird | realization_type=clause_after_before_subject | semantic_frame_intent=bird_behavior | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=spread its wings | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=bird,continue,The crane was silent for a long time before the bird spread its wings,spread its wings,The crane was silent for a long time before the bird spread its wings,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,bird,trusted,candidate_status=trusted,{}
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening,The spring returned only after the mechanism snapped back into place,coil,0.5000,continue,top_sense=coil | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=spring | cue=mechanism -> coil | positive_cue=mechanism -> coil | realization_type=clause_after_after_subject | semantic_frame_intent=mechanical_motion | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=snapped back into place | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=coil,continue,The spring returned only after the mechanism snapped back into place,snapped back into place,The spring returned only after the mechanism snapped back into place,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,coil,trusted,candidate_status=trusted,{}
