item_type,entity_id,subject,label,predicate,relation,object,surface,target,entity_type,source_page,source_name,as_of,claim_type,stability,strength,risk,status,requires_recheck,evidence_text
definition_claim,,Powerwall,,is_a,,home battery product produced by Tesla Energy,,,,Powerwall,,,,stable,,low,candidate,,Powerwall is a home battery product produced by Tesla Energy.
context_link,,,,,mentioned_with,,battery,Lithium-ion battery,,Powerwall,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla Energy,Tesla Energy,,Powerwall,,,,,weak,,candidate,,
entity_card,wiki:Supercharger,,Supercharger,,,,,,product,Supercharger,,,,,,low,candidate,,
definition_claim,,Supercharger,,is_a,,fast-charging network operated by Tesla,,,,Supercharger,,,,stable,,low,candidate,,Supercharger is a fast-charging network operated by Tesla.
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Supercharger,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,electric vehicle,Electric vehicle,,Supercharger,,,,,weak,,candidate,,
entity_card,wikidata:Q42415382,,Starlink,,,,,,product,Starlink,,,,,,low,candidate,,
definition_claim,,Starlink,,is_a,,satellite internet constellation operated by SpaceX,,,,Starlink,,,,stable,,low,candidate,,Starlink is a satellite internet constellation operated by SpaceX.
context_link,,,,,mentioned_with,,satellite internet,Satellite internet,,Starlink,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Starlink,,,,,weak,,candidate,,
entity_card,wikidata:Q1142841,,Battery electric vehicle,,,,,,technology,Battery electric vehicle,,,,,,low,candidate,,
definition_claim,,Battery electric vehicle,,is_a,,electric vehicle that uses a battery for propulsion,,,,Battery electric vehicle,,,,stable,,low,candidate,,A battery electric vehicle is an electric vehicle that uses a battery for propulsion.
context_link,,,,,mentioned_with,,electric vehicle,Electric vehicle,,Battery electric vehicle,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,battery,Lithium-ion battery,,Battery electric vehicle,,,,,weak,,candidate,,
entity_card,wikidata:Q2822895,,Lithium-ion battery,,,,,,technology,Lithium-ion battery,,,,,,low,candidate,,
definition_claim,,Lithium-ion battery,,is_a,,rechargeable battery that uses lithium ions,,,,Lithium-ion battery,,,,stable,,low,candidate,,A lithium-ion battery is a rechargeable battery that uses lithium ions.
context_link,,,,,mentioned_with,,rechargeable battery,Rechargeable battery,,Lithium-ion battery,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,energy,Energy storage,,Lithium-ion battery,,,,,weak,,candidate,,
entity_card,wiki:Clean_energy,,Clean energy,,,,,,concept,Clean energy,,,,,,low,candidate,,
definition_claim,,Clean energy,,is_a,,form of energy from low-carbon and renewable sources,,,,Clean energy,,,,stable,,low,candidate,,Clean energy is a form of energy from low-carbon and renewable sources.
context_link,,,,,mentioned_with,,renewable,Renewable energy,,Clean energy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,emissions,Greenhouse gas,,Clean energy,,,,,weak,,candidate,,
entity_card,wikidata:Q40015,,Solar energy,,,,,,concept,Solar energy,,,,,,low,candidate,,
definition_claim,,Solar energy,,is_a,,form of energy obtained from sunlight,,,,Solar energy,,,,stable,,low,candidate,,Solar energy is a form of energy obtained from sunlight.
context_link,,,,,mentioned_with,,sunlight,Sunlight,,Solar energy,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,panels,Solar panel,,Solar energy,,,,,weak,,candidate,,
entity_card,wiki:Reusable_rocket,,Reusable rocket,,,,,,technology,Reusable rocket,,,,,,low,candidate,,
definition_claim,,Reusable rocket,,is_a,,launch vehicle designed to be used more than once,,,,Reusable rocket,,,,stable,,low,candidate,,A reusable rocket is a launch vehicle designed to be used more than once.
context_link,,,,,mentioned_with,,launch vehicle,Launch vehicle,,Reusable rocket,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,spaceflight,Spaceflight,,Reusable rocket,,,,,weak,,candidate,,
entity_card,wikidata:Q40218,,Spacecraft,,,,,,technology,Spacecraft,,,,,,low,candidate,,
definition_claim,,Spacecraft,,is_a,,vehicle designed for travel in outer space,,,,Spacecraft,,,,stable,,low,candidate,,A spacecraft is a vehicle designed for travel in outer space.
context_link,,,,,mentioned_with,,outer space,Outer space,,Spacecraft,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,crew,Astronaut,,Spacecraft,,,,,weak,,candidate,,
entity_card,wikidata:Q697175,,Launch vehicle,,,,,,technology,Launch vehicle,,,,,,low,candidate,,
definition_claim,,Launch vehicle,,is_a,,rocket used to carry payloads into space,,,,Launch vehicle,,,,stable,,low,candidate,,A launch vehicle is a rocket used to carry payloads into space.
context_link,,,,,mentioned_with,,rocket,Rocket,,Launch vehicle,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,payloads,Payload,,Launch vehicle,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,orbit,Orbit,,Launch vehicle,,,,,weak,,candidate,,
entity_card,wiki:Satellite_internet,,Satellite internet,,,,,,concept,Satellite internet,,,,,,low,candidate,,
definition_claim,,Satellite internet,,is_a,,form of internet access delivered through communications satellites,,,,Satellite internet,,,,stable,,low,candidate,,Satellite internet is a form of internet access delivered through communications satellites.
context_link,,,,,mentioned_with,,communications satellites,Communications satellite,,Satellite internet,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,internet,Internet,,Satellite internet,,,,,weak,,candidate,,
entity_card,wiki:Business_magnate,,Business magnate,,,,,,concept,Business magnate,,,,,,low,candidate,,
definition_claim,,Business magnate,,is_a,,person who has achieved great success and influence in business,,,,Business magnate,,,,stable,,low,candidate,,A business magnate is a person who has achieved great success and influence in business.
context_link,,,,,mentioned_with,,business,Business,,Business magnate,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,companies,Company,,Business magnate,,,,,weak,,candidate,,
entity_card,wikidata:Q726270,,Market capitalization,,,,,,concept,Market capitalization,,,,,,low,candidate,,
definition_claim,,Market capitalization,,is_a,,total market value of a company's outstanding shares,,,,Market capitalization,,,,stable,,low,candidate,,Market capitalization is the total market value of a company's outstanding shares.
context_link,,,,,mentioned_with,,market value,Market value,,Market capitalization,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,shares,Share,,Market capitalization,,,,,weak,,candidate,,
