id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,completion,full_text,judged_text,judged_sense,label,audit_notes
v1-080,The operator photographed the crane as the bird crossed the lake,crane,bird,conflicting_cue,Operator cue conflicts with explicit bird and lake evidence,nanogpt:gpt2,", then followed it to a nearby lake.

A video released by the National Transportation Safety Board","The operator photographed the crane as the bird crossed the lake, then followed it to a nearby lake.

A video released by the National Transportation Safety Board",", then followed it to a nearby lake.",bird,good,Bird crossing lake and followed preserves bird sense.
v1-081,The bank was not beside a river so the clerk prepared to,bank,financial_institution,negation,Negated river cue should not trigger river edge,nanogpt:gpt2,"sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was","The bank was not beside a river so the clerk prepared to sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was","sell it if there was a problem, but after some hesitation and the offer was rejected the clerk was",financial_institution,unclear,Clerk context suggests institution but sell-it continuation is weak.
v1-082,The bank was not a place for money as the hikers slid down to,bank,river_edge,negation,Negated money cue should not trigger finance,nanogpt:gpt2,"it. But if they were still conscious you could see that their bodies were being pulled down.
","The bank was not a place for money as the hikers slid down to it. But if they were still conscious you could see that their bodies were being pulled down.
",it.,river_edge,unclear,Pronoun it may refer to bank/slope but is too vague for good.
v1-083,The bat was not an animal because the batter raised it to,bat,sports_equipment,negation,Negated animal cue should not override batter context,nanogpt:gpt2,"his head. The bat had been raised for the purpose of batting.

Advertisement

""","The bat was not an animal because the batter raised it to his head. The bat had been raised for the purpose of batting.

Advertisement

""",his head. The bat had been raised for the purpose of batting.,sports_equipment,good,Bat raised for batting clearly selects sports equipment.
v1-084,The bat was not for a game as it tucked its wings and,bat,animal,negation,Negated game cue should not override wings,nanogpt:gpt2,"a smile spread across its face as the ball swung into the air, taking a second to strike the","The bat was not for a game as it tucked its wings and a smile spread across its face as the ball swung into the air, taking a second to strike the","a smile spread across its face as the ball swung into the air, taking a second to strike the",animal,unclear,Wings/face suggest animal but game/ball imagery makes it confused.
v1-085,The seal was not an animal when the clerk pressed it onto the form to,seal,closure_stamp,negation,Negated animal cue should not block closure sense,nanogpt:gpt2,"check if he saw it. He didn't have to do any testing, he just gave it his","The seal was not an animal when the clerk pressed it onto the form to check if he saw it. He didn't have to do any testing, he just gave it his",check if he saw it.,closure_stamp,unclear,Pressed onto form suggests stamp but check-if-he-saw-it is weak.
v1-086,The seal was not a stamp as it surfaced beside the pier and,seal,animal,negation,Negated stamp cue should not block animal reading,nanogpt:gpt2,I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,The seal was not a stamp as it surfaced beside the pier and I couldn't see it. I could only hear the sound of a hand being shoved down her skirt,I couldn't see it.,animal,good,Surfaced beside pier preserves animal sense.
v1-087,The crane was not a bird because the operator lowered the hook to,crane,machine,negation,Negated bird cue should not override operator context,nanogpt:gpt2,try and cut away the tail. But it was a bird because it caught the tail and released it,The crane was not a bird because the operator lowered the hook to try and cut away the tail. But it was a bird because it caught the tail and released it,try and cut away the tail.,machine,good,Operator lowered hook preserves crane machine.
v1-088,The crane was not at a construction site as it crossed the reeds and,crane,bird,negation,Negated construction cue should not override bird behavior,nanogpt:gpt2,"was in position to be operated by a crane operator.

The crane operator said: ""I","The crane was not at a construction site as it crossed the reeds and was in position to be operated by a crane operator.

The crane operator said: ""I",was in position to be operated by a crane operator.,machine,bad,Introduces crane operator/machine despite expected bird sense.
v1-089,The spring was not warm weather because the latch pushed it back and,spring,coil,negation,Negated weather cue should not override mechanical context,nanogpt:gpt2,"forth, but it did not take long for the latch to be released. I was trying to pull","The spring was not warm weather because the latch pushed it back and forth, but it did not take long for the latch to be released. I was trying to pull","forth, but it did not take long for the latch to be released.",coil,good,Latch back and forth/released preserves coil mechanism.
v1-090,The spring was not a metal device after the thaw made the fields,spring,season,negation,Negated metal device cue should not block season,nanogpt:gpt2,"and the water muddy.

""The water was not muddy, but wet,"" says Dr.","The spring was not a metal device after the thaw made the fields and the water muddy.

""The water was not muddy, but wet,"" says Dr.",and the water muddy.,season,good,Thaw/fields/water muddy preserves season sense.
v1-091,The rock was not a stone after the guitarist tuned up and,rock,music,negation,Negated stone cue should not override music evidence,nanogpt:gpt2,"began playing that same song he'd done in his last album with the band, ""Riot"".","The rock was not a stone after the guitarist tuned up and began playing that same song he'd done in his last album with the band, ""Riot"".","began playing that same song he'd done in his last album with the band, ""Riot"".",music,good,Guitarist/song/album/band preserves music sense.
v1-092,The rock was not a song as it scraped his boot and,rock,stone,negation,Negated song cue should not override physical contact,nanogpt:gpt2,"started to turn on his head. A moment later, he was on the ground. He had fallen","The rock was not a song as it scraped his boot and started to turn on his head. A moment later, he was on the ground. He had fallen",started to turn on his head.,stone,unclear,Scraped boot suggests stone but turn-on-head wording is malformed.
v1-093,The bank was not about credit when the canoe scraped it and,bank,river_edge,negation,Negated credit cue should not override canoe context,nanogpt:gpt2,"ended up on the riverbank. For the next two years, they looked for other locations, searching","The bank was not about credit when the canoe scraped it and ended up on the riverbank. For the next two years, they looked for other locations, searching",ended up on the riverbank.,river_edge,good,Canoe scraped it and riverbank preserves river edge.
v1-094,The bat was not flying when the player set it beside home plate and,bat,sports_equipment,negation,Negated flying cue should not block equipment,nanogpt:gpt2,"hit it home. He was hit by a bat. He was hit by a helmet.

","The bat was not flying when the player set it beside home plate and hit it home. He was hit by a bat. He was hit by a helmet.

",hit it home.,sports_equipment,good,Player/home plate/hit it home preserves sports equipment.
v1-095,The seal was not on a document when it dove for fish and,seal,animal,negation,Negated document cue should not block animal behavior,nanogpt:gpt2,"then landed on his head.

""He didn't know what he was doing,"" said her","The seal was not on a document when it dove for fish and then landed on his head.

""He didn't know what he was doing,"" said her",then landed on his head.,animal,good,Dove for fish preserves animal sense.
v1-096,The river mural covered the bank lobby as the teller,bank,financial_institution,misleading_surface_cue,River surface cue points wrong while lobby and teller favor finance,nanogpt:gpt2,"of the message hung a sign that read, ""The city's open water is not your problem.""","The river mural covered the bank lobby as the teller of the message hung a sign that read, ""The city's open water is not your problem.""","of the message hung a sign that read, ""The city's open water is not your problem.",financial_institution,unclear,Bank lobby/teller signal institution but text is malformed.
v1-097,A cash wrapper floated to the bank where reeds,bank,river_edge,misleading_surface_cue,Cash cue points finance while natural setting favors river edge,nanogpt:gpt2,"flowed into it. ""I am the only one who has been able to buy this,"" his mother","A cash wrapper floated to the bank where reeds flowed into it. ""I am the only one who has been able to buy this,"" his mother",flowed into it.,river_edge,good,Reeds flowing into bank preserves river edge/natural setting.
v1-098,The cave logo was painted on the bat before the player,bat,sports_equipment,misleading_surface_cue,Cave surface cue points animal while player favors equipment,nanogpt:gpt2,"could get the button pressed.

The logo of The Cave also featured a short cutscene with","The cave logo was painted on the bat before the player could get the button pressed.

The logo of The Cave also featured a short cutscene with",could get the button pressed.,sports_equipment,unclear,Player/bat signal equipment but button-pressed continuation is weak.
v1-099,The injured player pointed at the bat above the rafters as it,bat,animal,misleading_surface_cue,Player cue points equipment while rafters and motion favor animal,nanogpt:gpt2,"was not immediately clear to him what was on it. Then, in a loud voice, he turned","The injured player pointed at the bat above the rafters as it was not immediately clear to him what was on it. Then, in a loud voice, he turned",was not immediately clear to him what was on it.,,unclear,Continuation does not clearly resolve bat sense.
v1-100,The ocean blue seal on the envelope began to,seal,closure_stamp,misleading_surface_cue,Ocean surface cue points animal while envelope favors closure,nanogpt:gpt2,cry out. The ship had been cut off because of an accident with the ocean blue seal on the,The ocean blue seal on the envelope began to cry out. The ship had been cut off because of an accident with the ocean blue seal on the,cry out.,animal,bad,Envelope seal is treated like crying animal.
v1-101,The package label showed a seal swimming as the animal,seal,animal,misleading_surface_cue,Package cue points closure while swimming and animal favor mammal,nanogpt:gpt2,"was being fed.

""In the end it's really hard to go up there and look","The package label showed a seal swimming as the animal was being fed.

""In the end it's really hard to go up there and look",was being fed.,animal,good,Seal swimming/animal being fed preserves animal sense.
v1-102,The marsh exhibit used a crane to lift scenery while the operator,crane,machine,misleading_surface_cue,Marsh cue points bird while operator and lift favor machine,nanogpt:gpt2,was working on the crane. The crane can be seen above the bridge to the left of the display,The marsh exhibit used a crane to lift scenery while the operator was working on the crane. The crane can be seen above the bridge to the left of the display,was working on the crane.,machine,good,Operator working on crane preserves machine sense.
v1-103,The steel sculpture looked like a crane until the bird,crane,bird,misleading_surface_cue,Steel cue points machine while explicit bird resolves animal,nanogpt:gpt2,flew out of the sky and landed in the desert. I got up and took off my shoes to,The steel sculpture looked like a crane until the bird flew out of the sky and landed in the desert. I got up and took off my shoes to,flew out of the sky and landed in the desert.,bird,good,Bird flew and landed preserves bird sense.
v1-104,The flowers painted on the spring inside the device,spring,coil,misleading_surface_cue,Flowers cue points season while device favors coil,nanogpt:gpt2,"are a bit of a surprise. It's a simple design to look at, but it has some","The flowers painted on the spring inside the device are a bit of a surprise. It's a simple design to look at, but it has some",are a bit of a surprise.,coil,good,Spring inside device preserves coil/mechanical sense.
v1-105,The metal sign announced spring as rain,spring,season,misleading_surface_cue,Metal cue points coil while rain favors season,nanogpt:gpt2,", and the sun came up to show. The day would pass with no clouds, just snow and","The metal sign announced spring as rain, and the sun came up to show. The day would pass with no clouds, just snow and",", and the sun came up to show.",season,good,Spring as rain/sun came up preserves season/weather.
v1-106,The mountain venue shook when the rock band,rock,music,misleading_surface_cue,Mountain cue points stone while band favors music,nanogpt:gpt2,"came down. ""They wanted our attention,"" he said. ""They didn't want to pay for","The mountain venue shook when the rock band came down. ""They wanted our attention,"" he said. ""They didn't want to pay for",came down.,music,unclear,Rock band signal music but came-down continuation is thin.
v1-107,After the concert the rock on the ground,rock,stone,misleading_surface_cue,Concert cue points music while ground favors stone,nanogpt:gpt2,"began cracking as you could just hear the crackling of the rock, but the sound was rather weak","After the concert the rock on the ground began cracking as you could just hear the crackling of the rock, but the sound was rather weak","began cracking as you could just hear the crackling of the rock, but the sound was rather weak",stone,good,Rock on ground cracking preserves stone sense.
v1-108,The fish emblem sat under the seal on the document,seal,closure_stamp,misleading_surface_cue,Fish cue points animal while document favors closure,nanogpt:gpt2,".

I said, ""I'm not going to lie. I want all of you to","The fish emblem sat under the seal on the document.

I said, ""I'm not going to lie. I want all of you to",.,,unclear,Only punctuation; no usable closure-stamp judgment.
v1-109,A credit card lay on the bank beside the stream,bank,river_edge,misleading_surface_cue,Credit card cue points finance while stream favors river edge,nanogpt:gpt2,bed. I was waiting to see his face on the front of the picture. He looked at me,A credit card lay on the bank beside the streambed. I was waiting to see his face on the front of the picture. He looked at me,bed.,river_edge,good,Bank beside stream bed preserves river edge.
v1-110,The wing shaped crane at the site lifted,crane,machine,misleading_surface_cue,Wing surface cue points bird while site and lifted favor machine,nanogpt:gpt2,"off the runway and then raised off the ground.

An analysis by the Aviation Weather Prediction Center","The wing shaped crane at the site lifted off the runway and then raised off the ground.

An analysis by the Aviation Weather Prediction Center",off the runway and then raised off the ground.,machine,unclear,Site/lifted signal machine but runway/lift-off imagery is confused.
v1-111,He went to the bank and,bank,,no_clear_answer,Known term appears without enough context for either sense,nanogpt:gpt2,"pulled out a gun. ""He's doing a great job, but you don't want to take","He went to the bank and pulled out a gun. ""He's doing a great job, but you don't want to take",pulled out a gun.,,bad,No clear-answer row drifts to gun content.
v1-112,She noticed the bat and,bat,,no_clear_answer,Known term appears with no reliable animal or equipment evidence,nanogpt:gpt2,"she went into the bathroom.

The woman, a police spokesperson said, ""was shocked and","She noticed the bat and she went into the bathroom.

The woman, a police spokesperson said, ""was shocked and",she went into the bathroom.,,unclear,No clear sense selected but continuation is vague/unrelated.
v1-113,They checked the seal before,seal,,no_clear_answer,Known term appears but action fits multiple senses,nanogpt:gpt2,"returning to the station to confirm it was still in.

""I guess I'll have to","They checked the seal before returning to the station to confirm it was still in.

""I guess I'll have to",returning to the station to confirm it was still in.,closure_stamp,bad,Forces closure/seal interpretation on no-clear-answer row.
v1-114,The crane stood nearby while,crane,,no_clear_answer,Known term appears with no decisive bird or machine evidence,nanogpt:gpt2,members of The Council of Ten went over the rubble and the wreckage. They then headed towards the city,The crane stood nearby while members of The Council of Ten went over the rubble and the wreckage. They then headed towards the city,members of The Council of Ten went over the rubble and the wreckage.,machine,bad,Forces crane-machine/disaster context on no-clear-answer row.
v1-115,The spring returned and,spring,,no_clear_answer,Known term appears with no decisive season or coil evidence,nanogpt:gpt2,the snow had finally settled. The wind had moved away and I had moved to the back of the,The spring returned and the snow had finally settled. The wind had moved away and I had moved to the back of the,the snow had finally settled.,season,bad,Forces spring-season interpretation on no-clear-answer row.
v1-116,The teacher opened the notebook and,,,no_known_term,No supported ambiguous term appears,nanogpt:gpt2,"read it. It was written by someone who was a teacher at the school, not by the student","The teacher opened the notebook and read it. It was written by someone who was a teacher at the school, not by the student",read it.,,good,No known ambiguous term; ordinary notebook continuation.
v1-117,The chef placed the bowl near the window and,,,no_known_term,Prompt avoids all supported ambiguous terms,nanogpt:gpt2,"sat down so it wouldn't hit the floor. ""That's the first step,"" a man in","The chef placed the bowl near the window and sat down so it wouldn't hit the floor. ""That's the first step,"" a man in",sat down so it wouldn't hit the floor.,,good,No known ambiguous term; ordinary bowl/window continuation.
v1-118,The driver waited at the corner before,,,no_known_term,Prompt has no known benchmark term,nanogpt:gpt2,"going inside to give a friend directions.

The driver said, ""I just want to ask","The driver waited at the corner before going inside to give a friend directions.

The driver said, ""I just want to ask",going inside to give a friend directions.,,good,No known ambiguous term; ordinary driver continuation.
v1-119,The painter mixed a pale color and,,,no_known_term,Prompt contains no supported ambiguous term,nanogpt:gpt2,"a dark green base to create the image we were aiming for.

As a result, the","The painter mixed a pale color and a dark green base to create the image we were aiming for.

As a result, the",a dark green base to create the image we were aiming for.,,good,No known ambiguous term; ordinary painter continuation.
v1-120,The child folded the paper carefully and,,,no_known_term,Prompt has no known ambiguous term and should audit,nanogpt:gpt2,flipped it out. The children were watching it. The child began to laugh. He told a friend,The child folded the paper carefully and flipped it out. The children were watching it. The child began to laugh. He told a friend,flipped it out.,,good,No known ambiguous term; ordinary paper-folding continuation.
